epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.92,2.27222,10.0308,2.5858,0.43918,0.41257,0.36641,0.17056,2.80895,11.783,3.37986,0.0824278,0.0023962,0.0023962
2,361.017,2.20808,9.38449,2.53803,0.54272,0.39792,0.36765,0.17115,2.81583,10.733,3.23352,0.064768,0.00473631,0.00473631
3,535.729,2.11295,8.85319,2.45524,0.32197,0.2853,0.24989,0.10742,2.83284,12.0948,3.09054,0.0470481,0.00701648,0.00701648
4,710.463,2.03899,8.5012,2.39397,0.65772,0.51787,0.51049,0.27729,2.42676,7.80544,2.79777,0.0292684,0.0092367,0.0092367
5,884.665,1.9732,8.07456,2.32626,0.63508,0.52774,0.51642,0.27277,2.40888,7.73263,2.8783,0.0114286,0.011397,0.011397
6,1058.08,1.90145,7.71739,2.27447,0.63362,0.54635,0.54876,0.33096,2.06511,7.42175,2.43784,0.0112508,0.0112508,0.0112508
7,1231.33,1.84478,7.4123,2.23443,0.71705,0.55898,0.5739,0.35125,2.07861,6.83419,2.45145,0.0111009,0.0111009,0.0111009
8,1405.67,1.82022,7.29808,2.2133,0.64351,0.56648,0.57805,0.33945,2.10398,7.05233,2.44856,0.0109511,0.0109511,0.0109511
9,1579.06,1.76458,7.01093,2.17087,0.70991,0.5817,0.60084,0.38105,2.01725,6.46371,2.36691,0.0108012,0.0108012,0.0108012
10,1753.39,1.7545,6.94574,2.1551,0.68245,0.6144,0.6216,0.37803,2.04115,6.20477,2.441,0.0106513,0.0106513,0.0106513
11,1926.96,1.72596,6.83269,2.14086,0.67497,0.61251,0.62,0.40008,1.87489,6.07988,2.28214,0.0105015,0.0105015,0.0105015
12,2101.01,1.69451,6.68506,2.11174,0.69611,0.56538,0.58788,0.35687,2.05078,6.25459,2.41298,0.0103517,0.0103517,0.0103517
13,2274.87,1.68181,6.65209,2.10928,0.71646,0.62155,0.64098,0.40046,1.92956,5.94875,2.3122,0.0102018,0.0102018,0.0102018
14,2446.97,1.66434,6.52541,2.08725,0.71124,0.62472,0.64369,0.40295,1.94048,5.86333,2.32293,0.010052,0.010052,0.010052
15,2620.52,1.64697,6.42056,2.07642,0.72423,0.6324,0.65824,0.42435,1.8817,5.68453,2.24108,0.0099021,0.0099021,0.0099021
16,2794.4,1.62327,6.3061,2.04945,0.69608,0.64552,0.64523,0.41593,1.87351,5.61609,2.24022,0.00975225,0.00975225,0.00975225
17,2968.75,1.60554,6.26781,2.04397,0.77006,0.63002,0.6593,0.44088,1.73454,5.6619,2.1196,0.0096024,0.0096024,0.0096024
18,3142.4,1.59481,6.23209,2.03752,0.74262,0.64504,0.66989,0.44183,1.78775,5.51806,2.1644,0.00945255,0.00945255,0.00945255
19,3316.8,1.5696,6.09166,2.01433,0.72685,0.66292,0.67692,0.43949,1.82565,5.30832,2.20071,0.0093027,0.0093027,0.0093027
20,3490.44,1.5591,5.95615,2.00856,0.75131,0.64858,0.67407,0.44407,1.76447,5.33924,2.13801,0.00915285,0.00915285,0.00915285
21,3663.81,1.54552,5.97957,1.99855,0.7457,0.65861,0.6817,0.45835,1.72864,5.13931,2.10563,0.009003,0.009003,0.009003
22,3837.22,1.53576,5.90204,1.98883,0.78233,0.65299,0.68989,0.46249,1.77639,5.19835,2.13034,0.00885315,0.00885315,0.00885315
23,4010.49,1.53438,5.9221,1.98661,0.75467,0.66395,0.68867,0.47153,1.65249,4.99394,2.03057,0.0087033,0.0087033,0.0087033
24,4183.8,1.49967,5.77454,1.95792,0.72401,0.67046,0.6822,0.4597,1.71776,5.04721,2.07076,0.00855345,0.00855345,0.00855345
25,4356.84,1.49563,5.74928,1.96163,0.7943,0.64678,0.68764,0.46109,1.72888,5.02316,2.09866,0.0084036,0.0084036,0.0084036
26,4530.98,1.49408,5.69539,1.95135,0.80511,0.65154,0.69509,0.47587,1.68379,5.01345,2.04718,0.00825375,0.00825375,0.00825375
27,4703.98,1.46925,5.61496,1.94154,0.82616,0.64421,0.69778,0.47282,1.70721,4.86704,2.08515,0.0081039,0.0081039,0.0081039
28,4878.36,1.46965,5.59048,1.94131,0.79063,0.65933,0.69367,0.47682,1.71112,4.90584,2.08903,0.00795405,0.00795405,0.00795405
29,5051.79,1.45117,5.52553,1.92255,0.80119,0.67686,0.71422,0.49053,1.6094,4.79194,1.98366,0.0078042,0.0078042,0.0078042
30,5225.38,1.45459,5.54728,1.92039,0.79584,0.6691,0.71303,0.4836,1.69317,4.96694,2.05092,0.00765435,0.00765435,0.00765435
31,5398.58,1.44366,5.47671,1.91583,0.78111,0.6735,0.70521,0.48098,1.67311,4.8951,2.03038,0.0075045,0.0075045,0.0075045
32,5570.99,1.44383,5.44433,1.91056,0.80696,0.67165,0.71252,0.50086,1.58182,4.69558,1.95944,0.00735465,0.00735465,0.00735465
33,5744.36,1.42912,5.39667,1.89973,0.80386,0.67565,0.71327,0.50254,1.58507,4.74763,1.9473,0.0072048,0.0072048,0.0072048
34,5917.97,1.40746,5.32525,1.89514,0.81215,0.68672,0.72431,0.50455,1.60816,4.71017,1.96438,0.00705495,0.00705495,0.00705495
