epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.879,2.84844,8.46451,3.42862,0.34806,0.22886,0.15661,0.05882,3.84674,11.5309,4.31342,0.0893878,0.00187275,0.00187275
2,368.132,2.75642,8.10003,3.34724,0.36802,0.33128,0.29051,0.10019,3.93956,10.1627,4.56405,0.0787618,0.00374682,0.00374682
3,545.11,2.63014,7.72801,3.25156,0.48468,0.44989,0.40027,0.20919,3.02023,7.83915,3.68313,0.0681322,0.0056172,0.0056172
4,720.414,2.55952,7.44189,3.18321,0.5971,0.4765,0.43509,0.20885,3.18323,7.00057,3.79764,0.0574961,0.00748111,0.00748111
5,895.198,2.50093,7.22049,3.14205,0.6524,0.48332,0.4529,0.22959,2.94254,7.35481,3.65054,0.0468508,0.0093358,0.0093358
6,1068.61,2.43127,6.99666,3.0778,0.60793,0.51071,0.47315,0.23862,3.02823,6.59997,3.71185,0.0361935,0.0111785,0.0111785
7,1241.76,2.39281,6.85994,3.05896,0.6407,0.52691,0.52198,0.30287,2.59847,6.05036,3.21063,0.0255215,0.0130065,0.0130065
8,1414.68,2.33365,6.67555,2.99686,0.63519,0.526,0.51048,0.29374,2.6227,6.12661,3.24566,0.0148322,0.0148172,0.0148172
9,1586.05,2.29591,6.44693,2.94961,0.67747,0.5423,0.54431,0.31925,2.54864,5.77996,3.14239,0.0147644,0.0147644,0.0147644
10,1759.51,2.24349,6.32995,2.91549,0.57603,0.55357,0.53792,0.32937,2.4881,6.17541,3.07176,0.0147022,0.0147022,0.0147022
11,1931.92,2.20906,6.20133,2.88465,0.66959,0.57669,0.5738,0.33944,2.5335,5.37032,3.04464,0.014633,0.014633,0.014633
12,2106.1,2.17986,6.08951,2.84668,0.66753,0.57374,0.58094,0.36211,2.29035,5.24952,2.95133,0.0145567,0.0145567,0.0145567
13,2277.96,2.14867,5.95296,2.82834,0.66154,0.58725,0.58599,0.36224,2.3921,5.11809,2.98186,0.0144734,0.0144734,0.0144734
14,2450.5,2.13943,5.94564,2.82085,0.67815,0.60274,0.61244,0.39264,2.29252,4.88265,2.82875,0.0143832,0.0143832,0.0143832
15,2622.99,2.08889,5.75034,2.77129,0.66818,0.59797,0.61171,0.39402,2.26093,4.98447,2.84917,0.0142863,0.0142863,0.0142863
16,2794.52,2.06953,5.68831,2.75511,0.67208,0.60071,0.61088,0.39727,2.26272,4.8041,2.82371,0.0141826,0.0141826,0.0141826
17,2966.88,2.04938,5.61658,2.74586,0.72577,0.59247,0.63105,0.4043,2.22646,4.91879,2.76429,0.0140724,0.0140724,0.0140724
18,3139.74,2.01825,5.57917,2.72113,0.68951,0.60668,0.6121,0.39492,2.21521,4.81477,2.81095,0.0139557,0.0139557,0.0139557
19,3313.17,2.00896,5.4928,2.70666,0.7274,0.61662,0.6458,0.42505,2.11279,4.50955,2.68707,0.0138326,0.0138326,0.0138326
